Company,Age,Title,Salary,Department
Oracle,37,Senior Product Manager,245220.09,Mobile
Lyft,23,Software Engineer,120614.13,Engineering
Microsoft,55,Senior Software Engineer,224988.28,Design
VMware,57,Engineering Manager,205366.04,Security
Salesforce,47,Senior Software Engineer,190317.36,Mobile
Meta,38,Principal Engineer,357245.9,Infrastructure
Intel,60,Principal Engineer,377470.33,Mobile
Oracle,49,Senior Software Engineer,184828.28,Mobile
Google,36,Senior Data Scientist,239134.95,Security
Cisco,30,Staff Engineer,238766.95,Design
Salesforce,45,Director,305480.23,Cloud Services
Oracle,34,Software Engineer,128415.46,Mobile
Intel,46,Director,270690.05,Engineering
Lyft,52,Senior Product Manager,239821.15,Data Science
Intel,29,Data Scientist,181228.46,Infrastructure
Salesforce,30,Senior Product Manager,241487.51,Design
Lyft,29,Data Scientist,166959.02,Design
Oracle,38,Staff Engineer,203093.48,Mobile
Microsoft,50,Product Manager,199485.3,Web
Adobe,42,Director,341819.4,Design
Lyft,40,Data Scientist,152727.58,Cloud Services
Nvidia,39,UX Designer,147978.6,Machine Learning
Amazon,38,Senior Data Scientist,191180.75,Engineering
Microsoft,46,Engineering Manager,272299.28,Cloud Services
Lyft,51,Senior Data Scientist,255857.75,Engineering
Netflix,37,Data Scientist,208254.49,Cloud Services
Amazon,39,Data Scientist,145563.95,Machine Learning
Cisco,44,UX Designer,106242.0,Product
Apple,45,UX Designer,146744.41,Infrastructure
Salesforce,22,Data Scientist,132283.35,Product
IBM,48,Product Manager,149762.86,Mobile
Microsoft,22,Data Scientist,171408.62,Design
Apple,36,UX Designer,141180.24,Mobile
Adobe,45,Principal Engineer,364687.23,Machine Learning
Cisco,26,Software Engineer,127686.51,Mobile
Lyft,38,Data Scientist,157267.76,Web
Adobe,48,Director,287039.78,Mobile
VMware,40,Senior Software Engineer,230132.83,Product
Uber,25,UX Designer,140378.68,Infrastructure
Apple,36,Engineering Manager,246856.51,Data Science
Amazon,32,Senior UX Designer,154151.94,Product
Meta,42,Data Scientist,150363.93,Machine Learning
Amazon,36,Senior UX Designer,184266.92,Engineering
Adobe,35,Product Manager,142849.52,Data Science
Uber,44,Senior Data Scientist,244158.94,Design
IBM,34,Senior Data Scientist,227053.04,Data Science
Lyft,23,Software Engineer,144120.56,Infrastructure
IBM,46,Product Manager,179036.84,Security
Nvidia,36,Software Engineer,139459.37,Web
Netflix,34,Senior Data Scientist,230431.77,Infrastructure
Amazon,38,Principal Engineer,374419.99,Engineering
VMware,40,Data Scientist,158438.93,Cloud Services
Amazon,39,Product Manager,215800.9,Security
Adobe,39,Software Engineer,177901.23,Data Science
Netflix,46,Principal Engineer,331873.6,Engineering
Intel,42,Software Engineer,145357.7,Data Science
IBM,30,UX Designer,146384.56,Product
Meta,43,Data Scientist,182923.15,Data Science
Netflix,53,Senior Software Engineer,260908.41,Infrastructure
Nvidia,32,Senior UX Designer,203722.85,Product
Apple,48,Engineering Manager,329208.03,Cloud Services
Apple,39,Senior UX Designer,219788.86,Web
Amazon,44,UX Designer,123873.91,Infrastructure
Cisco,48,Senior UX Designer,170181.09,Design
Adobe,40,Staff Engineer,282026.32,Engineering
Intel,35,Senior UX Designer,164865.65,Security
Amazon,45,Director,290381.98,Design
Amazon,35,Engineering Manager,314074.49,Web
IBM,35,Software Engineer,151027.85,Cloud Services
VMware,48,Director,304056.22,Web
Cisco,50,Senior Data Scientist,233858.22,Mobile
VMware,35,Software Engineer,123435.14,Cloud Services
Uber,37,UX Designer,144924.26,Cloud Services
VMware,48,Product Manager,159008.79,Cloud Services
Netflix,33,Senior Product Manager,302091.19,Product
Netflix,46,Staff Engineer,312209.63,Data Science
Lyft,41,Software Engineer,150729.23,Mobile
Intel,50,Director,348245.8,Engineering
IBM,41,Engineering Manager,191376.21,Engineering
Netflix,46,Director,413895.33,Product
Oracle,45,Staff Engineer,234554.73,Engineering
Microsoft,55,Staff Engineer,313135.44,Infrastructure
Cisco,52,Director,275084.55,Infrastructure
Salesforce,37,Senior UX Designer,146622.4,Machine Learning
Cisco,46,Product Manager,189543.4,Data Science
Uber,49,Senior Product Manager,278013.49,Security
Netflix,55,Senior UX Designer,207506.67,Mobile
Oracle,24,UX Designer,118239.23,Design
VMware,23,Data Scientist,161268.94,Web
Salesforce,44,Senior Data Scientist,224162.48,Product
Salesforce,45,Product Manager,156935.18,Product
Uber,36,Product Manager,163368.33,Product
VMware,52,Product Manager,141577.54,Security
Microsoft,40,Senior UX Designer,173467.16,Mobile
Google,37,Staff Engineer,354228.22,Design
Netflix,54,Senior Software Engineer,241166.56,Design
VMware,40,Staff Engineer,317977.55,Web
Amazon,28,Software Engineer,160524.78,Product
Lyft,46,Engineering Manager,280792.27,Machine Learning
Salesforce,42,Software Engineer,140802.86,Machine Learning
Meta,39,Senior UX Designer,165597.89,Mobile
Intel,25,Software Engineer,178834.69,Machine Learning
Google,43,Engineering Manager,246135.1,Cloud Services
Google,45,Senior Product Manager,266575.24,Machine Learning
Oracle,60,Principal Engineer,307901.49,Data Science
Adobe,44,Director,371593.66,Infrastructure
Lyft,42,Staff Engineer,259763.82,Product
Adobe,22,Data Scientist,198588.79,Engineering
Uber,47,Director,363668.03,Data Science
Oracle,52,Senior Data Scientist,204517.41,Web
Cisco,27,Data Scientist,173876.1,Security
Apple,50,Senior Data Scientist,262808.18,Data Science
Salesforce,55,Senior UX Designer,151136.86,Engineering
VMware,39,Director,251321.58,Security
Apple,47,Senior Software Engineer,263521.02,Web
Lyft,42,Data Scientist,134380.18,Product
Oracle,36,Director,295955.22,Engineering
Adobe,32,Senior Product Manager,247849.85,Product
Adobe,48,Staff Engineer,245944.76,Security
Meta,46,Director,345288.41,Web
IBM,25,Software Engineer,162000.92,Infrastructure
Uber,47,Senior Data Scientist,174514.02,Machine Learning
Netflix,43,Engineering Manager,242277.84,Data Science
Salesforce,53,Director,314740.72,Mobile
Uber,43,Senior UX Designer,157503.17,Infrastructure
Microsoft,34,Software Engineer,176466.46,Design
VMware,43,Software Engineer,124758.8,Design
Oracle,31,Senior UX Designer,145378.74,Security
Amazon,30,Software Engineer,174280.44,Product
Amazon,31,Senior Data Scientist,209918.33,Mobile
Intel,32,Data Scientist,181820.88,Cloud Services
Salesforce,25,UX Designer,154536.92,Data Science
Google,45,Senior Data Scientist,271063.43,Infrastructure
Cisco,43,Software Engineer,148942.67,Security
VMware,32,Staff Engineer,249129.85,Engineering
Oracle,49,Senior UX Designer,154120.43,Security
Amazon,47,Engineering Manager,307310.44,Data Science
Microsoft,43,Senior Software Engineer,206992.31,Web
Salesforce,36,Senior Data Scientist,255186.44,Mobile
Adobe,50,Senior Data Scientist,215578.92,Design
Microsoft,45,Senior Product Manager,215002.52,Design
Uber,39,Senior Software Engineer,203008.76,Machine Learning
Amazon,30,Software Engineer,187608.97,Machine Learning
Salesforce,22,Software Engineer,176295.89,Security
Lyft,45,Data Scientist,155270.21,Design
Nvidia,49,Staff Engineer,281432.8,Data Science
Apple,37,Director,415372.76,Cloud Services
Meta,57,Engineering Manager,250238.78,Product
Lyft,54,Engineering Manager,267877.59,Machine Learning
Oracle,39,Senior Software Engineer,169419.08,Machine Learning
Adobe,44,Software Engineer,155075.6,Infrastructure
Apple,22,Software Engineer,192637.01,Data Science
Salesforce,39,Principal Engineer,390051.37,Design
Netflix,49,Senior Product Manager,222534.79,Machine Learning
Adobe,42,Data Scientist,151068.6,Design
Microsoft,55,Senior UX Designer,203892.77,Security
Nvidia,32,Software Engineer,165258.33,Mobile
Oracle,39,Software Engineer,162986.6,Product
Nvidia,39,Senior Data Scientist,272828.9,Mobile
Netflix,26,UX Designer,142486.34,Machine Learning
Uber,45,Director,255599.98,Web
Lyft,37,Software Engineer,139322.39,Mobile
Salesforce,32,Data Scientist,180292.77,Web
Uber,35,Data Scientist,195717.86,Web
IBM,41,Principal Engineer,352200.33,Web
Uber,59,Director,313320.95,Mobile
Google,54,Principal Engineer,445177.37,Data Science
Uber,57,Director,285390.38,Cloud Services
Nvidia,38,Software Engineer,174053.02,Engineering
Intel,35,Senior Software Engineer,224902.56,Engineering
Intel,35,Data Scientist,162968.74,Data Science
Netflix,31,UX Designer,155205.27,Machine Learning
Intel,50,Staff Engineer,227279.71,Cloud Services
Uber,37,Staff Engineer,243184.23,Web
Netflix,31,Senior UX Designer,227892.5,Web
IBM,42,Staff Engineer,256537.99,Product
Microsoft,30,Senior Data Scientist,186855.24,Security
Intel,40,Senior Data Scientist,234000.64,Cloud Services
Google,44,Senior Data Scientist,283540.5,Infrastructure
IBM,47,Principal Engineer,262910.01,Machine Learning
Microsoft,45,Principal Engineer,417022.26,Infrastructure
Amazon,30,Software Engineer,146688.18,Machine Learning
Salesforce,31,Senior Software Engineer,198287.48,Data Science
IBM,39,Product Manager,146101.49,Infrastructure
Oracle,35,Software Engineer,128069.17,Design
Intel,49,Director,340148.05,Product
Netflix,45,Staff Engineer,341494.58,Design
VMware,50,Staff Engineer,263361.34,Product
Adobe,30,UX Designer,114662.55,Mobile
Lyft,53,Product Manager,165555.45,Design
Amazon,32,Data Scientist,182966.63,Cloud Services
Adobe,45,Engineering Manager,266865.23,Machine Learning
Microsoft,51,Staff Engineer,323523.09,Machine Learning
Salesforce,58,Engineering Manager,286574.27,Web
Salesforce,50,Engineering Manager,229439.55,Security
Nvidia,45,Software Engineer,137209.42,Product
Microsoft,49,Engineering Manager,302269.6,Cloud Services
IBM,49,Senior Data Scientist,189576.54,Infrastructure
Nvidia,47,Engineering Manager,248312.19,Engineering
Oracle,30,Senior UX Designer,177353.73,Data Science
Intel,40,Senior UX Designer,152162.77,Mobile
Microsoft,52,Engineering Manager,311751.47,Product
Oracle,40,Senior Software Engineer,190217.12,Data Science
Uber,35,Software Engineer,176144.55,Security
Oracle,37,UX Designer,98798.73,Design
IBM,33,Data Scientist,151363.35,Mobile
Intel,40,Data Scientist,178166.66,Engineering
Cisco,35,Senior UX Designer,162577.38,Design
IBM,35,Senior Data Scientist,189033.3,Infrastructure
Salesforce,59,Product Manager,168078.13,Product
Netflix,34,Software Engineer,200214.77,Web
Uber,52,Senior Product Manager,211100.38,Engineering
Google,39,Director,316341.83,Mobile
Nvidia,54,Senior Product Manager,282243.4,Design
Amazon,41,Engineering Manager,228817.8,Product
Apple,46,Product Manager,228760.02,Engineering
Lyft,51,Senior Product Manager,187926.85,Infrastructure
Salesforce,30,Senior Software Engineer,179034.64,Design
Apple,51,Principal Engineer,363832.06,Data Science
Cisco,55,Engineering Manager,222455.18,Product
Salesforce,37,Software Engineer,172396.24,Data Science
Microsoft,58,Director,340741.3,Cloud Services
Salesforce,34,Data Scientist,166670.98,Mobile
Cisco,40,Principal Engineer,336018.68,Security
Cisco,44,Engineering Manager,222421.85,Design
Netflix,35,Engineering Manager,295729.63,Cloud Services
Adobe,45,Data Scientist,163383.23,Machine Learning
Apple,52,Senior UX Designer,215377.8,Cloud Services
Google,41,Data Scientist,155344.75,Design
Oracle,48,Staff Engineer,261113.14,Mobile
IBM,37,Principal Engineer,262544.06,Infrastructure
VMware,39,Senior Product Manager,239614.87,Engineering
Amazon,45,Senior Software Engineer,177705.93,Data Science
Google,31,Senior Product Manager,234009.37,Design
Netflix,46,Staff Engineer,275952.8,Machine Learning
Lyft,38,Director,286878.34,Infrastructure
Oracle,58,Principal Engineer,278815.21,Cloud Services
Apple,50,Director,300110.63,Infrastructure
Amazon,53,Engineering Manager,306169.38,Product
Salesforce,31,Software Engineer,139366.44,Mobile
Uber,46,Director,361008.91,Engineering
Amazon,45,Engineering Manager,290550.54,Design
Lyft,50,Engineering Manager,206016.94,Machine Learning
Uber,50,Director,282913.46,Design
Uber,48,Senior Software Engineer,227165.36,Product
Uber,30,Senior UX Designer,184440.17,Design
Amazon,31,UX Designer,135523.18,Engineering
Intel,57,Principal Engineer,387343.94,Product
VMware,36,UX Designer,146445.59,Infrastructure
VMware,50,Staff Engineer,259777.54,Product
Salesforce,22,Software Engineer,157148.11,Cloud Services
Amazon,45,Data Scientist,200361.44,Security
Salesforce,33,Senior Software Engineer,221289.84,Product
Amazon,32,Senior Product Manager,273542.67,Infrastructure
Apple,30,Data Scientist,169065.11,Mobile
IBM,51,Senior Product Manager,175024.6,Security
Cisco,51,Senior Product Manager,176164.44,Product
Amazon,52,Principal Engineer,397682.72,Design
Adobe,27,Software Engineer,155792.91,Product
Netflix,33,Senior Product Manager,237338.59,Cloud Services
VMware,57,Engineering Manager,212096.69,Web
Amazon,42,UX Designer,168120.7,Design
Apple,30,Senior Data Scientist,220220.86,Infrastructure
Apple,56,Engineering Manager,251441.11,Security
Intel,55,Senior Product Manager,272782.13,Product
Amazon,49,Engineering Manager,233840.85,Security
Nvidia,23,UX Designer,112586.98,Web
Netflix,34,Data Scientist,199597.38,Mobile
Lyft,41,Principal Engineer,378593.77,Data Science
Google,39,Engineering Manager,271893.01,Engineering
Apple,45,Senior Data Scientist,279025.7,Design
Oracle,46,Senior UX Designer,180005.42,Security
Nvidia,38,Staff Engineer,275903.67,Web
Intel,27,UX Designer,106273.66,Web
VMware,35,Senior Product Manager,181641.42,Security
Oracle,32,Software Engineer,160779.13,Mobile
Adobe,32,Senior Software Engineer,221559.67,Product
IBM,45,Senior Product Manager,254224.8,Product
Adobe,28,Data Scientist,140421.61,Mobile
VMware,40,Director,304183.72,Design
Uber,49,Director,283911.43,Mobile
Intel,48,Staff Engineer,293119.42,Security
Cisco,30,Software Engineer,137279.56,Design
Netflix,48,Senior Data Scientist,270602.8,Product
Lyft,36,UX Designer,156939.45,Infrastructure
VMware,28,Software Engineer,124167.35,Product
VMware,45,Senior Data Scientist,182905.51,Machine Learning
Salesforce,31,Senior UX Designer,151172.27,Design
Uber,38,Data Scientist,178994.3,Cloud Services
Intel,48,Product Manager,155198.0,Security
Cisco,41,UX Designer,123208.74,Infrastructure
Intel,24,UX Designer,121832.85,Mobile
Microsoft,53,Principal Engineer,416500.64,Data Science
Salesforce,40,Senior Product Manager,241275.86,Mobile
Google,38,Senior Software Engineer,233404.45,Mobile
Nvidia,24,Data Scientist,157254.56,Machine Learning
Netflix,37,Senior Software Engineer,200828.78,Engineering
Oracle,35,UX Designer,120516.59,Machine Learning
Salesforce,48,Director,281869.46,Infrastructure
Netflix,27,Software Engineer,163869.46,Engineering
Apple,37,Senior Data Scientist,284787.35,Design
Lyft,45,Director,323302.9,Product
VMware,58,Principal Engineer,334788.7,Security
Intel,56,Director,253924.29,Engineering
Uber,33,Senior Product Manager,265569.22,Cloud Services
IBM,26,Data Scientist,138997.9,Machine Learning
Uber,32,Senior Software Engineer,197051.86,Mobile
Uber,24,UX Designer,120701.72,Mobile
Uber,48,Director,376593.01,Security
Apple,40,Director,380435.63,Data Science
Microsoft,36,Senior UX Designer,160337.01,Design
Nvidia,47,Staff Engineer,318712.37,Infrastructure
Cisco,47,Senior Software Engineer,200650.85,Machine Learning
Microsoft,30,Senior UX Designer,151206.19,Mobile
Oracle,48,Senior Software Engineer,167822.17,Web
Uber,45,UX Designer,135360.71,Security
Nvidia,58,Director,332719.79,Machine Learning
Salesforce,29,UX Designer,136153.3,Web
IBM,38,Senior Data Scientist,219162.46,Cloud Services
Microsoft,26,Data Scientist,142550.5,Infrastructure
Oracle,32,Senior UX Designer,158477.07,Design
Oracle,30,Senior UX Designer,162006.18,Machine Learning
Nvidia,45,Product Manager,221070.06,Machine Learning
Apple,40,Senior Software Engineer,206267.79,Mobile
Cisco,48,Staff Engineer,269038.61,Data Science
Nvidia,41,Senior Data Scientist,224610.9,Engineering
Adobe,31,Software Engineer,158648.06,Web
Lyft,40,Software Engineer,173783.01,Product
Nvidia,54,Senior UX Designer,152738.89,Design
Google,49,Product Manager,252179.79,Cloud Services
VMware,49,Senior UX Designer,166098.01,Design
Intel,33,Staff Engineer,313293.27,Infrastructure
Apple,46,Staff Engineer,293041.69,Web
Oracle,50,Engineering Manager,188490.37,Mobile
Amazon,33,Senior Data Scientist,231717.81,Cloud Services
Nvidia,57,Director,290442.85,Product
Nvidia,24,Data Scientist,168324.02,Infrastructure
Lyft,27,Software Engineer,132400.7,Security
Nvidia,25,Data Scientist,141670.01,Data Science
Nvidia,39,Principal Engineer,380539.35,Security
Salesforce,36,Data Scientist,180716.44,Web
Amazon,30,Software Engineer,161947.52,Cloud Services
Google,33,Senior Data Scientist,239068.98,Security
Cisco,44,Senior Product Manager,247978.5,Design
VMware,53,Senior Product Manager,196719.1,Engineering
Apple,44,Engineering Manager,288361.43,Security
VMware,30,Data Scientist,181782.93,Machine Learning
Nvidia,39,UX Designer,121818.47,Infrastructure
Lyft,34,Senior Data Scientist,201708.08,Infrastructure
Microsoft,34,UX Designer,125405.11,Mobile
IBM,52,Director,321666.54,Security
Oracle,23,UX Designer,113499.73,Product
Oracle,38,UX Designer,111953.43,Machine Learning
Uber,24,Data Scientist,131869.63,Cloud Services
Oracle,50,Staff Engineer,256135.1,Cloud Services
Lyft,42,Senior Software Engineer,199636.76,Design
Oracle,40,Senior UX Designer,174012.74,Security
Intel,41,Principal Engineer,282120.24,Machine Learning
Amazon,58,Engineering Manager,315617.16,Mobile
Nvidia,47,Engineering Manager,298698.85,Data Science
Oracle,52,Senior Data Scientist,166378.29,Web
Google,51,Engineering Manager,247774.83,Security
Google,55,Staff Engineer,290860.81,Web
Cisco,52,Senior UX Designer,133633.8,Cloud Services
Salesforce,33,UX Designer,133139.97,Design
Nvidia,59,Engineering Manager,241497.24,Product
Amazon,34,UX Designer,160772.91,Web
Uber,42,Staff Engineer,243939.92,Web
Uber,38,Software Engineer,136932.69,Engineering
Cisco,41,Engineering Manager,262242.37,Engineering
Cisco,60,Engineering Manager,267045.99,Cloud Services
Netflix,59,Principal Engineer,376310.53,Machine Learning
Adobe,51,Staff Engineer,275028.76,Data Science
Meta,27,UX Designer,121004.71,Mobile
Oracle,38,Data Scientist,178918.96,Design
Salesforce,46,Senior Software Engineer,172132.41,Mobile
Lyft,56,Engineering Manager,231961.47,Product
Google,53,Staff Engineer,312019.68,Data Science
IBM,46,Product Manager,178375.62,Security
Intel,39,Principal Engineer,334048.89,Web
VMware,26,Data Scientist,141430.41,Security
Microsoft,42,Engineering Manager,286253.39,Data Science
Microsoft,42,Director,363588.94,Infrastructure
Nvidia,30,Senior Data Scientist,202981.22,Security
Intel,39,Software Engineer,170737.41,Data Science
VMware,25,Data Scientist,191428.27,Web
Intel,35,Senior Software Engineer,213670.23,Web
Uber,31,Software Engineer,173244.18,Product
Netflix,25,UX Designer,153096.73,Mobile
Salesforce,38,Engineering Manager,247114.53,Mobile
Meta,53,Principal Engineer,420858.67,Engineering
Cisco,47,Senior Product Manager,211317.2,Machine Learning
Meta,27,UX Designer,145410.84,Data Science
Adobe,22,UX Designer,139751.25,Data Science
Cisco,49,Senior Software Engineer,179564.67,Product
Nvidia,49,Engineering Manager,321515.76,Engineering
Uber,39,Senior Product Manager,269132.29,Mobile
Netflix,49,Staff Engineer,339473.65,Machine Learning
Microsoft,32,Senior Software Engineer,203957.13,Product
Salesforce,42,Director,268524.87,Security
Uber,35,Senior Data Scientist,175438.63,Mobile
Netflix,55,Senior UX Designer,220430.32,Mobile
Intel,45,UX Designer,156989.11,Cloud Services
Apple,55,Principal Engineer,345408.27,Data Science
Nvidia,47,Engineering Manager,257362.1,Product
Adobe,22,Data Scientist,199452.06,Cloud Services
Amazon,50,Senior UX Designer,180543.72,Cloud Services
Apple,35,Data Scientist,224795.02,Data Science
Cisco,46,Senior UX Designer,141139.01,Security
Salesforce,42,Director,258789.65,Design
Nvidia,35,Senior UX Designer,162684.47,Mobile
Salesforce,32,UX Designer,143811.46,Engineering
Nvidia,48,Principal Engineer,323436.04,Cloud Services
Uber,31,Senior Software Engineer,160979.68,Infrastructure
Cisco,53,Product Manager,192889.08,Design
Intel,32,Senior UX Designer,149860.12,Data Science
Apple,38,Senior Data Scientist,213118.79,Machine Learning
Netflix,32,Senior Software Engineer,197671.68,Machine Learning
Adobe,39,Senior UX Designer,183294.18,Engineering
Google,44,Software Engineer,146911.84,Cloud Services
Amazon,30,Senior UX Designer,192437.41,Security
Cisco,47,Senior UX Designer,128910.26,Infrastructure
IBM,47,Product Manager,183297.46,Security
Meta,57,Engineering Manager,242099.05,Data Science
IBM,40,Product Manager,157313.64,Web
Oracle,42,Software Engineer,116723.26,Infrastructure
Nvidia,29,Software Engineer,135773.32,Security
VMware,54,Senior Software Engineer,229084.65,Web
Intel,41,Data Scientist,185456.54,Design
Apple,22,Data Scientist,199714.95,Product
Cisco,49,Senior UX Designer,136191.27,Machine Learning
Amazon,34,UX Designer,116280.56,Product
Salesforce,48,Product Manager,216188.23,Product
Cisco,35,UX Designer,129634.0,Infrastructure
Google,37,Product Manager,215381.03,Product
Cisco,31,Senior Software Engineer,206741.1,Security
Oracle,35,Senior UX Designer,132268.24,Engineering
Intel,46,Senior UX Designer,172844.03,Web
Apple,47,Senior Data Scientist,262494.03,Engineering
Cisco,38,Product Manager,146413.1,Mobile
VMware,34,Staff Engineer,298912.99,Security
Microsoft,28,UX Designer,120238.23,Product
Adobe,50,Senior Data Scientist,225233.65,Web
Adobe,35,Senior Data Scientist,256620.09,Data Science
Intel,38,Senior Product Manager,237312.84,Mobile
Lyft,53,Product Manager,204567.55,Machine Learning
Salesforce,43,Staff Engineer,275704.8,Design
Cisco,58,Engineering Manager,247357.63,Machine Learning
Meta,38,Data Scientist,157415.46,Web
Intel,33,UX Designer,124416.97,Mobile
Microsoft,41,Senior UX Designer,200415.57,Design
Oracle,39,Senior Product Manager,250313.26,Design
IBM,40,Senior UX Designer,157488.8,Data Science
Lyft,51,Senior Software Engineer,175995.37,Cloud Services
Uber,34,Senior UX Designer,181268.91,Product
Meta,23,UX Designer,141607.05,Design
Amazon,36,Software Engineer,173022.97,Machine Learning
Meta,56,Director,347480.23,Machine Learning
Netflix,43,Principal Engineer,372190.6,Design
Salesforce,29,Software Engineer,142206.54,Mobile
Microsoft,37,Senior Data Scientist,185886.1,Mobile
Amazon,34,Staff Engineer,342315.06,Security
Meta,55,Senior Product Manager,233989.02,Design
Amazon,40,Senior Data Scientist,268313.59,Security
Apple,39,Senior Product Manager,309735.79,Design
Uber,41,Senior Software Engineer,191371.36,Design
Google,32,Senior UX Designer,196617.27,Design
Google,48,Senior Software Engineer,201778.36,Product
Oracle,36,Director,274282.81,Engineering
Intel,52,Principal Engineer,334809.14,Product
Cisco,44,UX Designer,110556.12,Mobile
Uber,40,Principal Engineer,294313.67,Engineering
VMware,59,Principal Engineer,385722.74,Data Science
Meta,32,Software Engineer,175815.28,Web
Meta,36,Senior Data Scientist,281966.8,Web
Nvidia,52,Engineering Manager,241570.13,Infrastructure
Adobe,54,Staff Engineer,248743.6,Cloud Services
Uber,24,Software Engineer,121723.29,Engineering
Netflix,28,Software Engineer,153162.36,Mobile
Microsoft,31,Data Scientist,205639.51,Mobile
Lyft,36,Senior Product Manager,233971.09,Engineering
IBM,36,UX Designer,118050.23,Machine Learning
Netflix,45,Senior Software Engineer,221565.06,Web
Apple,39,Senior Software Engineer,254737.47,Mobile
Apple,32,Software Engineer,144985.23,Security
Salesforce,56,Principal Engineer,294912.55,Data Science
Oracle,50,Senior Data Scientist,164678.28,Cloud Services
Intel,48,Director,259565.02,Mobile
Salesforce,40,Senior Software Engineer,231154.85,Infrastructure
Google,52,Principal Engineer,399348.93,Design
Meta,27,UX Designer,147726.9,Security
Apple,44,Senior Data Scientist,272352.84,Design
Meta,43,Data Scientist,173445.17,Web
Cisco,52,Senior Data Scientist,193886.43,Data Science
Microsoft,46,Senior Software Engineer,174223.39,Security
Cisco,55,Staff Engineer,212337.25,Infrastructure
Oracle,47,Director,288997.39,Engineering
Google,32,Senior UX Designer,204669.82,Product
Oracle,51,Principal Engineer,260242.07,Product
Apple,39,Engineering Manager,235869.68,Design
Amazon,52,Staff Engineer,257042.87,Security
IBM,36,Software Engineer,125026.51,Cloud Services
Salesforce,58,Engineering Manager,226018.91,Design
Cisco,35,Principal Engineer,314451.52,Product
Apple,38,Director,307205.82,Cloud Services
Google,43,Principal Engineer,345076.35,Engineering
Apple,43,Principal Engineer,393167.89,Data Science
Salesforce,41,Software Engineer,147027.08,Engineering
Netflix,39,Engineering Manager,279076.48,Web
VMware,40,Director,371376.68,Design
Nvidia,26,UX Designer,115062.51,Cloud Services
Microsoft,46,Principal Engineer,380587.69,Engineering
Oracle,39,Senior Product Manager,186346.75,Cloud Services
Uber,22,Software Engineer,177545.72,Design
Amazon,53,Director,275513.5,Mobile
Intel,49,Engineering Manager,263894.74,Data Science
Google,38,Product Manager,192813.59,Mobile
Oracle,42,Data Scientist,165339.71,Security
Uber,59,Principal Engineer,349003.84,Mobile
Adobe,45,Software Engineer,158256.07,Design
